Date,Price,Open,High,Low,Change %
6-Nov-13,4111.96,4111.96,4111.96,4111.96,0.53%
7-Nov-13,4200.8,4200.8,4200.8,4200.8,2.16%
10-Nov-13,4244.7,4244.7,4244.7,4244.7,1.05%
11-Nov-13,4198.5,4198.5,4198.5,4198.5,-1.09%
12-Nov-13,4197.71,4197.71,4197.71,4197.71,-0.02%
13-Nov-13,4212.72,4212.72,4212.72,4212.72,0.36%
14-Nov-13,4241.54,4241.54,4241.54,4241.54,0.68%
17-Nov-13,4256.42,4256.42,4256.42,4256.42,0.35%
18-Nov-13,4279.42,4279.42,4279.42,4279.42,0.54%
19-Nov-13,4381.37,4381.37,4381.37,4381.37,2.38%
20-Nov-13,4439.59,4439.59,4439.59,4439.59,1.33%
21-Nov-13,4395.93,4395.93,4395.93,4395.93,-0.98%
24-Nov-13,4324.7,4324.7,4324.7,4324.7,-1.62%
25-Nov-13,4354.88,4354.88,4354.88,4354.88,0.70%
26-Nov-13,4277.54,4277.54,4277.54,4277.54,-1.78%
27-Nov-13,4268.65,4268.65,4268.65,4268.65,-0.21%
28-Nov-13,4230.72,4230.72,4230.72,4230.72,-0.89%
1-Dec-13,4147.2,4147.2,4147.2,4147.2,-1.97%
2-Dec-13,4197.92,4197.92,4197.92,4197.92,1.22%
3-Dec-13,4310.72,4310.72,4310.72,4310.72,2.69%
4-Dec-13,4294.22,4294.22,4294.22,4294.22,-0.38%
5-Dec-13,4277.39,4277.39,4277.39,4277.39,-0.39%
8-Dec-13,4302.56,4302.56,4302.56,4302.56,0.59%
9-Dec-13,4289.82,4289.82,4289.82,4289.82,-0.30%
10-Dec-13,4329.53,4329.53,4329.53,4329.53,0.93%
11-Dec-13,4333.79,4333.79,4333.79,4333.79,0.10%
12-Dec-13,4299.58,4299.58,4299.58,4299.58,-0.79%
15-Dec-13,4280.72,4280.72,4280.72,4280.72,-0.44%
17-Dec-13,4270.58,4270.58,4270.58,4270.58,-0.24%
18-Dec-13,4240.12,4240.12,4240.12,4240.12,-0.71%
19-Dec-13,4244.63,4244.63,4244.63,4244.63,0.11%
22-Dec-13,4288.86,4288.86,4288.86,4288.86,1.04%
23-Dec-13,4265.24,4265.24,4265.24,4265.24,-0.55%
24-Dec-13,4228.9,4228.9,4228.9,4228.9,-0.85%
26-Dec-13,4200.96,4200.96,4200.96,4200.96,-0.66%
29-Dec-13,4209.69,4209.69,4209.69,4209.69,0.21%
30-Dec-13,4266.55,4266.55,4266.55,4266.55,1.35%
1-Jan-14,4286.15,4286.15,4286.15,4286.15,0.46%
2-Jan-14,4314.09,4314.09,4314.09,4314.09,0.65%
6-Jan-14,4296.34,4296.34,4296.34,4296.34,-0.41%
7-Jan-14,4330.63,4330.63,4330.63,4330.63,0.80%
8-Jan-14,4391.27,4391.27,4391.27,4391.27,1.40%
9-Jan-14,4407.82,4407.82,4407.82,4407.82,0.38%
12-Jan-14,4437.81,4437.81,4437.81,4437.81,0.68%
13-Jan-14,4454.83,4454.83,4454.83,4454.83,0.38%
15-Jan-14,4494.02,4494.02,4494.02,4494.02,0.88%
16-Jan-14,4519.35,4519.35,4519.35,4519.35,0.56%
19-Jan-14,4565.4,4565.4,4565.4,4565.4,1.02%
20-Jan-14,4550.47,4550.47,4550.47,4550.47,-0.33%
21-Jan-14,4584.62,4584.62,4584.62,4584.62,0.75%
22-Jan-14,4640.55,4640.55,4640.55,4640.55,1.22%
23-Jan-14,4702.66,4702.66,4702.66,4702.66,1.34%
26-Jan-14,4758.37,4758.37,4758.37,4758.37,1.18%
27-Jan-14,4751.61,4751.61,4751.61,4751.61,-0.14%
28-Jan-14,4706.54,4706.54,4706.54,4706.54,-0.95%
29-Jan-14,4748.51,4748.51,4748.51,4748.51,0.89%
30-Jan-14,4753.17,4753.17,4753.17,4753.17,0.10%
2-Feb-14,4787.66,4787.66,4787.66,4787.66,0.73%
3-Feb-14,4826.51,4826.51,4826.51,4826.51,0.81%
4-Feb-14,4809.54,4809.54,4809.54,4809.54,-0.35%
5-Feb-14,4811.49,4811.49,4811.49,4811.49,0.04%
6-Feb-14,4845.08,4845.08,4845.08,4845.08,0.70%
9-Feb-14,4822.71,4822.71,4822.71,4822.71,-0.46%
10-Feb-14,4797.97,4797.97,4797.97,4797.97,-0.51%
11-Feb-14,4763.46,4763.46,4763.46,4763.46,-0.72%
12-Feb-14,4763.71,4763.71,4763.71,4763.71,0.01%
13-Feb-14,4759.32,4759.32,4759.32,4759.32,-0.09%
16-Feb-14,4713.87,4713.87,4713.87,4713.87,-0.95%
17-Feb-14,4684.07,4684.07,4684.07,4684.07,-0.63%
18-Feb-14,4671.56,4671.56,4671.56,4671.56,-0.27%
19-Feb-14,4749.23,4749.23,4749.23,4749.23,1.66%
20-Feb-14,4761.18,4761.18,4761.18,4761.18,0.25%
23-Feb-14,4727.44,4727.44,4727.44,4727.44,-0.71%
24-Feb-14,4751.58,4751.58,4751.58,4751.58,0.51%
25-Feb-14,4756.88,4756.88,4756.88,4756.88,0.11%
26-Feb-14,4750.26,4750.26,4750.26,4750.26,-0.14%
27-Feb-14,4749.86,4749.86,4749.86,4749.86,-0.01%
2-Mar-14,4697.3,4697.3,4697.3,4697.3,-1.11%
3-Mar-14,4687.19,4687.19,4687.19,4687.19,-0.22%
4-Mar-14,4703.87,4703.87,4703.87,4703.87,0.36%
5-Mar-14,4697.54,4697.54,4697.54,4697.54,-0.13%
6-Mar-14,4699.62,4699.62,4699.62,4699.62,0.04%
9-Mar-14,4687.19,4687.19,4687.19,4687.19,-0.26%
10-Mar-14,4665.56,4665.56,4665.56,4665.56,-0.46%
11-Mar-14,4672.63,4672.63,4672.63,4672.63,0.15%
12-Mar-14,4660.52,4660.52,4660.52,4660.52,-0.26%
13-Mar-14,4635.33,4635.33,4635.33,4635.33,-0.54%
16-Mar-14,4591.17,4591.17,4591.17,4591.17,-0.95%
18-Mar-14,4554.78,4554.78,4554.78,4554.78,-0.79%
19-Mar-14,4519.02,4519.02,4519.02,4519.02,-0.79%
20-Mar-14,4558.93,4558.93,4558.93,4558.93,0.88%
23-Mar-14,4519.54,4519.54,4519.54,4519.54,-0.86%
24-Mar-14,4466.08,4466.08,4466.08,4466.08,-1.18%
25-Mar-14,4498.77,4498.77,4498.77,4498.77,0.73%
27-Mar-14,4508.05,4508.05,4508.05,4508.05,0.21%
30-Mar-14,4478.68,4478.68,4478.68,4478.68,-0.65%
31-Mar-14,4491.98,4491.98,4491.98,4491.98,0.30%
1-Apr-14,4526.94,4526.94,4526.94,4526.94,0.78%
2-Apr-14,4595.8,4595.8,4595.8,4595.8,1.52%
3-Apr-14,4621.22,4621.22,4621.22,4621.22,0.55%
6-Apr-14,4588.78,4588.78,4588.78,4588.78,-0.70%
7-Apr-14,4608.29,4608.29,4608.29,4608.29,0.43%
8-Apr-14,4586.91,4586.91,4586.91,4586.91,-0.46%
9-Apr-14,4594.33,4594.33,4594.33,4594.33,0.16%
10-Apr-14,4592.73,4592.73,4592.73,4592.73,-0.03%
13-Apr-14,4573.56,4573.56,4573.56,4573.56,-0.42%
15-Apr-14,4606.75,4606.75,4606.75,4606.75,0.73%
16-Apr-14,4590.14,4590.14,4590.14,4590.14,-0.36%
17-Apr-14,4598.91,4598.91,4598.91,4598.91,0.19%
20-Apr-14,4616.44,4616.44,4616.44,4616.44,0.38%
21-Apr-14,4648.75,4648.75,4648.75,4648.75,0.70%
22-Apr-14,4659.99,4659.99,4659.99,4659.99,0.24%
23-Apr-14,4694.21,4694.21,4694.21,4694.21,0.73%
24-Apr-14,4702.45,4702.45,4702.45,4702.45,0.18%
27-Apr-14,4666.41,4666.41,4666.41,4666.41,-0.77%
28-Apr-14,4624.75,4624.75,4624.75,4624.75,-0.89%
29-Apr-14,4567.04,4567.04,4567.04,4567.04,-1.25%
