Date,Price,Open,High,Low,Vol.,Change %
8-Jun-21,6023.15,5975.89,6035.84,5938.98,-,0.79%
7-Jun-21,5975.89,6038.29,6062.55,5954.6,-,-1.03%
6-Jun-21,6038.29,6053.42,6084.32,6030.75,-,-0.25%
3-Jun-21,6053.42,6019,6074.58,6019,-,0.57%
2-Jun-21,6019,5993.33,6022.94,5972.83,-,0.43%
1-Jun-21,5993.33,5990.98,6040.08,5990.19,-,0.04%
31-May-21,5990.98,6008.69,6021.31,5959.83,-,-0.29%
30-May-21,6008.69,5985.81,6039.12,5972.68,-,0.38%
27-May-21,5985.81,5884.78,5988.52,5884.78,-,1.72%
25-May-21,5884.78,5842.91,5891.21,5842.91,-,0.72%
24-May-21,5842.91,5787.59,5853.67,5787.59,-,0.96%
23-May-21,5787.59,5813.06,5832.14,5775.26,-,-0.44%
20-May-21,5813.06,5873.13,5901.58,5807.1,-,-1.02%
19-May-21,5873.13,5829.23,5907.01,5829.23,-,0.75%
18-May-21,5829.23,5840.08,5862.34,5806.83,-,-0.19%
17-May-21,5840.08,5813.16,5861.43,5809.14,-,0.46%
16-May-21,5813.16,5750.49,5818.32,5750.49,-,1.09%
12-May-21,5750.49,5724.36,5754.16,5706.56,-,0.46%
11-May-21,5724.36,5645.69,5727.69,5645.69,-,1.39%
9-May-21,5645.69,5606.01,5649.19,5582.42,-,0.71%
6-May-21,5606.01,5588.83,5625.91,5588.83,-,0.31%
5-May-21,5588.83,5556.5,5601.93,5556.5,-,0.96%
4-May-21,5535.48,5511.36,5543.61,5511.27,-,0.44%
3-May-21,5511.36,5517.01,5546.12,5504.86,-,-0.10%
2-May-21,5517.01,5479.61,5524,5479.61,-,0.68%
29-Apr-21,5479.61,5461.34,5498.84,5461.34,-,0.33%
28-Apr-21,5461.34,5422.38,5465.33,5413.12,-,0.72%
27-Apr-21,5422.38,5485.86,5485.91,5413.01,-,-1.16%
26-Apr-21,5485.86,5498.21,5525.58,5475.65,-,-0.22%
25-Apr-21,5498.21,5435.03,5508.83,5435.03,-,1.16%
22-Apr-21,5435.03,5423.22,5440.96,5414.42,-,0.22%
21-Apr-21,5423.22,5421.78,5456.64,5417.04,-,0.03%
20-Apr-21,5421.78,5349.91,5431.46,5348.72,-,1.34%
19-Apr-21,5349.91,5331.42,5354.87,5324.52,-,0.35%
18-Apr-21,5331.42,5310.18,5337.2,5293.23,-,0.40%
15-Apr-21,5310.18,5258.5,5313.95,5258.5,-,0.98%
13-Apr-21,5258.5,5188.27,5269.68,5158.36,-,1.35%
12-Apr-21,5188.27,5164.69,5220.93,5164.69,-,0.46%
11-Apr-21,5164.69,5254.77,5254.77,5150.25,-,-1.71%
8-Apr-21,5254.77,5337.33,5337.33,5245.93,-,-1.55%
7-Apr-21,5337.33,5281.37,5360.38,5281.37,-,1.06%
6-Apr-21,5281.37,5177.48,5305.68,5177.48,-,2.01%
5-Apr-21,5177.48,5088.98,5184.01,5088.98,-,1.74%
4-Apr-21,5088.98,5270.53,5270.53,5080.4,-,-3.44%
1-Apr-21,5270.53,5278.16,5285.99,5208.7,-,-0.14%
31-Mar-21,5278.16,5373.12,5373.32,5270.61,-,-1.77%
29-Mar-21,5373.12,5343.94,5399.36,5343.94,-,0.55%
28-Mar-21,5343.94,5327.21,5353.33,5321.99,-,0.31%
25-Mar-21,5327.21,5330.12,5355.81,5306.78,-,-0.05%
24-Mar-21,5330.12,5413.73,5413.73,5322.52,-,-1.54%
23-Mar-21,5413.73,5412.19,5451.92,5400.68,-,0.03%
22-Mar-21,5412.19,5349.77,5418.69,5289.81,-,1.17%
21-Mar-21,5349.77,5434.69,5434.69,5337.38,-,-1.56%
18-Mar-21,5434.69,5516.4,5516.4,5414.96,-,-1.48%
16-Mar-21,5516.4,5532.97,5572.42,5503.38,-,-0.30%
15-Mar-21,5532.97,5519.15,5542.76,5510.16,-,0.25%
14-Mar-21,5519.15,5568.85,5591.3,5515.73,-,-0.89%
11-Mar-21,5568.85,5563.66,5594.22,5557.57,-,0.09%
10-Mar-21,5563.66,5591.38,5602.77,5547.4,-,-0.50%
9-Mar-21,5591.38,5604.38,5616.63,5584.51,-,-0.23%
8-Mar-21,5604.38,5584.29,5614.91,5583.91,-,0.36%
7-Mar-21,5584.29,5515.78,5589.78,5515.78,-,1.24%
4-Mar-21,5515.78,5488.07,5523.41,5488.07,-,0.50%
3-Mar-21,5488.07,5508.26,5537.7,5479.38,-,-0.37%
2-Mar-21,5508.26,5426.82,5515.43,5426.82,-,1.50%
1-Mar-21,5426.82,5404.79,5433.79,5384.22,-,0.41%
28-Feb-21,5404.79,5416.39,5452.7,5399.32,-,-0.21%
25-Feb-21,5416.39,5385.64,5437.5,5372.74,-,0.57%
24-Feb-21,5385.64,5317.71,5398.03,5317.71,-,1.28%
23-Feb-21,5317.71,5385.21,5406.26,5313.22,-,-1.25%
22-Feb-21,5385.21,5475.98,5482.56,5376.64,-,-1.66%
18-Feb-21,5475.98,5503.67,5518.21,5475.62,-,-0.50%
17-Feb-21,5503.67,5527.39,5548.58,5493.67,-,-0.43%
16-Feb-21,5527.39,5545.09,5597.79,5521.32,-,-0.32%
15-Feb-21,5545.09,5447.64,5553.28,5447.64,-,1.79%
14-Feb-21,5447.64,5485.01,5511.04,5419.46,-,-0.68%
